,CellMarker_normal+Thymus+Fetal thymus+T cell,CellMarker_normal+Thymus+Fetal thymus+Macrophage,CellMarker_normal+Thymus+Fetal thymus+Mesenchymal cell,CellMarker_normal+Thymus+Fetal thymus+Mast cell,CellMarker_normal+Thymus+Fetal thymus+Endothelial cell,CellMarker_normal+Thymus+Fetal thymus+Dendritic cell,CellMarker_normal+Thymus+Fetal thymus+Epithelial cell,CellMarker_normal+Thymus+Fetal thymus+Progenitor cell,CellMarker_normal+Thymus+Fetal thymus+Stem cell,CellMarker_normal+Thymus+Epithelium+Mature medullary thymic epithelial cell,CellMarker_normal+Thymus+Epithelium+GP2-preferred medullary thymic epithelial cell,CellMarker_normal+Thymus+Epithelium+Epithelial cell,CellMarker_normal+Thymus+Epithelium+Proliferating medullary thymic epithelial cell,CellMarker_normal+Thymus+Epithelium+Tuft-like medullary thymic epithelial cell,CellMarker_normal+Thymus+Thymus+Epithelial cell,CellMarker_normal+Thymus+Thymus+Fibroblast,CellMarker_normal+Thymus+Thymus+Regulatory T(Treg) cell,CellMarker_normal+Thymus+Thymus+Vascular smooth muscle cell(VSMC),CellMarker_normal+Thymus+Thymus+Plasmacytoid dendritic cell(pDC),CellMarker_normal+Thymus+Thymus+CD8 T cell,CellMarker_normal+Thymus+Thymus+Endothelial cell,CellMarker_normal+Thymus+Thymus+CD4 T cell,CellMarker_normal+Thymus+Thymus+T helper cell,CellMarker_normal+Thymus+Thymus+Regulatory T (Treg) cell,CellMarker_normal+Thymus+Epithelium+Secretory cell,CellMarker_normal+Thymus+Epithelium+Goblet cell,CellMarker_normal+Thymus+Epithelium+Ciliated cell,CellMarker_normal+Thymus+Thymus+Thymus seeding progenitor (TSP),CellMarker_normal+Thymus+Thymus+Early T cell progenitor (ETP),CellMarker_normal+Thymus+Thymus+Progenitor cell,CellMarker_normal+Thymus+Thymus+Stem cell,CellMarker_cancer+Thymus+Thymus+Cancer cell,CellMarker_normal+Thymus+Blood vessel+Red blood cell (erythrocyte),CellMarker_normal+Thymus+Blood vessel+Stromal cell,CellMarker_normal+Thymus+Blood vessel+Endothelial cell,CellMarker_normal+Thymus+Blood vessel+Mesenchymal cell,CellMarker_normal+Thymus+Blood vessel+Mesothelial cell,CellMarker_normal+Thymus+Blood vessel+Epithelial cell,CellMarker_normal+Thymus+Blood vessel+Pericyte,CellMarker_normal+Thymus+Blood vessel+Immune cell,CellMarker_normal+Thymus+Thymus+T cell,CellMarker_normal+Thymus+Thymus+Thymic epithelial cell (TEC),CellMarker_normal+Thymus+Thymus+Corneocyte-like cell,CellMarker_normal+Thymus+Thymus+Ciliated cell,CellMarker_normal+Thymus+Thymus+Capsular fibroblast(Fb2),CellMarker_normal+Thymus+Thymus+Myoid cell,CellMarker_normal+Thymus+Thymus+Neuroendocrine cell,CellMarker_normal+Thymus+Thymus+Immature medullary thymic epithelial cell,CellMarker_normal+Thymus+Thymus+Immature cortical thymic epithelial cell,CellMarker_normal+Thymus+Thymus+Intrathymic fibroblast(Fb1),CellMarker_normal+Thymus+Thymus+Thymic epithelial cell,CellMarker_normal+Thymus+Thymus+Tuft-like cell,CellMarker_normal+Thymus+Thymus+Mesenchymal cell,CellMarker_normal+Thymus+Medullary thymus+Epithelial cell,CellMarker_normal+Thymus+Cortical thymus+Epithelial cell,CellMarker_normal+Thymus+Thymus+Endodermal progenitor cell,CellMarker_normal+Thymus+Thymus+Cortical cell,CellMarker_normal+Thymus+Thymus+Medullary cell,CellMarker_normal+Thymus+Thymus+Myeloid cell,CellMarker_normal+Thymus+Thymus+B cell
0,TRBC2,CLEC10A,COL1A2,HDC,PECAM1,BATF3,KRT17,SPINK2,CD34,TSPAN8,Cd177,Ivl,Mki67,Pou2f3,NEUROD1,PI16,MIR155HG,PDGFRB,JCHAIN,CD8B,CDH5,CD40LG,Cxcr5,CD4,Gp2,Muc5ac,Prr18,KIAA0087,CD7,CD34,CD34,Acta2,HBG1,IVL,ACKR1,LAMA2,MSLN,KRT8,MCAM,CD7,CCR6,CXCL12,IL1RN,FOXJ1,SEMA3D,MYOD1,CHGA,INSM1,CCN2,GDF10,ITGA6,IL25,PDGFRB,CLDN4,LY75,THY1,LY75,CLDN4,FUT4,MS4A1
1,CD3D,CD14,PDGFRA,TPSAB1,CDH5,CLEC9A,KRT5,,,GP2,Ccl9,Krt10,Aire,,DLK2,SEMA3D,PTGIR,RGS5,IL3RA,CD8A,PECAM1,CD4,Cd4,FOXP3,,Tff2,,CD53,LYL1,,,Myh11,HBA1,PSMB11,GJA4,LUM,PRG4,EPCAM,CSPG4,CD3D,KLRB1,KRT5,LYPD2,SOX2,FBN1,BEX1,NEUROD1,ASCL1,ZBED2,COLEC11,ZBED2,POU2F3,PDGFRA,AIRE,PBSM11,CD90,,,CD68,CD20
2,CD1B,,,CPA3,,,KRT8,,,PGE,Sca‐1,Spink5,,,FOXN1,ALDH1A2,CTLA4,FBN1,CLEC4C,,LYVE1,,,Cd4,,Gp2,,CD164,CD34,,,,GYPA,FOXN1,PECAM1,PDGFRA,UPK3B,,PDGFRB,PTPRC,DPP4,PSMB11,FXYD3,,PI16,MYOG,,,CTGF,ALDH1A2,CCN2,,,KRT14,CD205,,,,CD15,
3,CD3G,,,,,,EPCAM,,,TRGs,Ceacam10,Epcam,,,CHGA,FBN1,GNG8,ACTA2,Irf8,,,,,Foxp3,,,,LTB,,,,,,MYOD1,VEGFC,,,,,,CD5,CCL25,,,,,,,,,ck5,,,FEZF2,,,,,CD11c,
4,LCK,,,,,,KRT19,,,Itga6 (CD49f),Ccl20,,,,PSMB11,COLEC11,PRDM1,,Irf7,,,,,,,,,HOXA10,,,,,,AIRE,SELE,,,,,,CD8A,KRT8,,,,,,,,,CD49f,,,,,,,,,
5,,,,,,,,,,Ly6a (Sca‐1),Ccr5,,,,FOXI1,GDF10,FOXP3,,Il3ra,,,,,,,,,HOPX,,,,,,CLDN4,PROX1,,,,,,RAG1,DLL4,,,,,,,,,CTGF,,,,,,,,,
6,,,,,,,,,,Cd86,Ccl6,,,,CHRNA1,PDGFRA,PLN,,Spib,,,,,,,,,EVL,,,,,,NEUROD1,CCL21,,,,,,RAG2,PRSS16,,,,,,,,,ck8,,,,,,,,,
7,,,,,,,,,,Aire,Ckm,,,,AIRE,S100A4,IKZF4,,,,,,,,,,,CCR7,,,,,,LY75,APLNR,,,,,,CD7,FOXN1,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,Cd80,,,,,KRT1,FAP,,,,,,,,,,,,ARL6IP5,,,,,,,LYVE,,,,,,CD4,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,EPCAM,,,,,,,,,,,,,HOXA9,,,,,,,,,,,,,CD161,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,KRT14,,,,,,,,,,,,,FAM30A,,,,,,,,,,,,,CD26,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,MYOD1,,,,,,,,,,,,,KIAA0125,,,,,,,,,,,,,CD8,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,ITGB4,,,,,,,,,,,,,,,,,,,,,,,,,,CD3,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,PDPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,CD104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,PAN-CK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
