,CellMarker_cancer+Thyroid+Thyroid+Normal follicular cell,CellMarker_cancer+Thyroid+Thyroid+Fibroblast,CellMarker_cancer+Thyroid+Thyroid+T cell,CellMarker_cancer+Thyroid+Thyroid+Parafollicular cell,CellMarker_cancer+Thyroid+Thyroid+Endothelial cell,CellMarker_cancer+Thyroid+Thyroid+Macrophage,CellMarker_cancer+Thyroid+Thyroid+Myeloid cell,CellMarker_cancer+Thyroid+Thyroid+Epithelial cell,CellMarker_cancer+Thyroid+Thyroid+B cell,CellMarker_cancer+Thyroid+Thyroid+Cancer stem cell
0,TPO,ACTA2,CD3D,CALCA,RAMP2,CD68,TYROBP,ID4,MS4A1,ALDH1A2
1,,TAGLN,,,MGP,,LYZ,S100A13,CD79A,CD44
2,,IGFBP7,,,TFPI,,FCER1G,TPO,IGKC,ALDH1A1
3,,RGS5,,,TIMP3,,,CLU,CD74,ABCG2
4,,COL1A2,,,CLDN5,,,KRT18,CD79B,CTNNB1
5,,,,,,,,IYD,,ALDH1A3
6,,,,,,,,MGST1,,KLF2
7,,,,,,,,EPCAM,,SOX2
8,,,,,,,,FN1,,
9,,,,,,,,TFF3,,
10,,,,,,,,TG,,
11,,,,,,,,DIO2,,
