,Endothelial.cells,Fibroblasts,T.cells,Smooth.muscle.cells,Macrophages,Plasma.cells
0,ADGRF5,ABI3BP,ANXA2R,ADAM33,ADORA3,ANGPTL6
1,AFAP1L1,ACKR4,APOBEC3D,ADGRF5,ARL11,APOBEC3D
2,ANXA2R,ADAM33,ARHGAP9,ANGPTL6,BST1,ARL5A
3,ART4,ADAMTS12,C11orf21,ARHGEF25,C1orf162,ASPM
4,CARD10,ART4,CALCB,C14orf180,CCL3,BSCL2
5,CPXM2,B3GNT9,CARD11,C1QTNF2,CCL4,CBWD2
6,CXCL12,C1QTNF2,CARMIL2,C20orf202,CCL4L2,CD70
7,EGFL7,C1R,CCL4,COL1A1,CD244,FAM111B
8,HHEX,CCDC80,CCL4L2,CXCL12,CD300A,GABARAP
9,HMCN1,CD70,CD244,ECM2,CD300E,GFI1
10,HOXD10,CHRDL1,CD52,FOXL1,CD52,GPR15
11,ITGA1,CLEC11A,CD70,GRP,CREG1,GPX7
12,ITM2A,COL1A1,CLEC2D,HIC1,CXCL10,GTSE1
13,KCTD12,CXCL12,CPNE7,IRAG1,FERMT3,HSH2D
14,LEPR,ECM2,CXCR4,ISM1,FFAR2,IGLJ2
15,LRRC15,F10,DGKA,ITGA1,FPR3,IL12RB1
16,PTPRB,FAM180A,FERMT3,ITGA11,GGTA1,ITGA4
17,PXDN,FAM180B,FGD3,ITGBL1,GPNMB,KCNA3
18,RIPOR1,FAP,FXYD7,KCNQ4,GPR183,LILRB4
19,TNXB,FGF16,GFI1,KLHL23,GPR82,NCAPG
20,VEGFC,FKBP7,GPR15,LHFPL6,ITGA4,RGS1
21,,GFRA1,GPR82,NKD1,KCTD12,SHCBP1
22,,GLT8D2,HLA-F,OLFML1,LAPTM5,SHISAL2A
23,,GPNMB,IL12RB1,PLAC9,LILRB4,SNAI3
24,,GSTM5,IL21R,RASL12,PEAK3,SPCS2
25,,GXYLT2,ITGA4,SCN4B,PLA2G7,TIFA
26,,HIC1,ITK,SUSD5,PROK2,TRAM1
27,,HMCN1,ITM2A,TGFB3,RAB39A,TRAV12-1
28,,ISM1,KCNA3,TMEM200B,RGL1,TSHR
29,,ITGA11,LTA,TMEM47,RGS1,TXNDC15
30,,ITGBL1,LTB,TPM2,RNASE6,WNT10A
31,,ITM2A,NMUR1,,SIRPB2,
32,,LEPR,PARP15,,SLC37A2,
33,,LHFPL6,PATL2,,SNAI3,
34,,LRRC15,PRKCH,,TLR1,
35,,LRRC17,PTPN22,,TNFAIP8L2,
36,,MATN4,RAB37,,TREM1,
37,,MMP23B,RGS1,,VNN2,
38,,MXRA8,RNF166,,,
39,,OAF,SCML4,,,
40,,OLFML1,SHISAL2A,,,
41,,OMD,SLA2,,,
42,,PDGFRL,SNAI3,,,
43,,PLAC9,SPNS3,,,
44,,POGLUT3,SUSD3,,,
45,,PXDN,TMC6,,,
46,,SERPINF1,TMC8,,,
47,,SSC5D,TNFAIP3,,,
48,,SSPN,TRAV12-1,,,
49,,TIMP2,TRAV13-2,,,
50,,TMEM200B,TRBV5-6,,,
51,,TNXB,TRGV4,,,
52,,TRABD2B,TSPAN32,,,
53,,TRIL,Z82206.1,,,
