,Fibroblasts,Smooth.muscle.cells,Endothelial.cells,T.cells,Macrophages,Plasma.cells
0,ABCA10,CSPG4,ADCY4,GIMAP5,C1QB,FCRL5
1,DPT,JPH2,BCL6B,GIMAP6,CCR1,IGHD
2,GDF10,MUSTN1,CYYR1,IFNG,CD300LB,IGHG3
3,PI16,MYOCD,DIPK2B,KIR3DL2,CEACAM4,IGHM
4,STAB1,,EMCN,KLRC2,CLEC4D,IGHV7-81
5,,,GIMAP5,KLRC3,FCGR1A,IGKC
6,,,GIMAP6,KLRC4,GIMAP5,IGLJ3
7,,,KANK3,NCR3,GIMAP6,IGLV11-55
8,,,MMRN2,SH2D1A,IL10,IGLV3-12
9,,,NOTCH4,SLFN12L,LILRA2,IGLV5-37
10,,,RAMP2,TRAV8-6,LILRB3,IGLV8-61
11,,,RASIP1,TRBC1,LRRC25,TNFRSF13B
12,,,ROBO4,TRBC2,LY86,TRBV3-1
13,,,STAB1,TRBV10-3,MS4A4A,TRBV5-4
14,,,TIE1,TRBV2,MS4A6A,
15,,,USHBP1,TRBV27,OLR1,
16,,,,TRBV3-1,RETN,
17,,,,TRBV4-1,SIGLEC7,
18,,,,TRBV5-4,SIGLEC9,
19,,,,TRBV6-2,SLC11A1,
20,,,,TRBV7-6,STAB1,
21,,,,TRBV9,TMIGD3,
22,,,,TRDC,TRBV7-6,
23,,,,TRGC1,VENTX,
24,,,,TRGC2,,
25,,,,TRGV9,,
26,,,,WNT1,,
27,,,,XCL1,,
28,,,,XCL2,,
29,,,,ZNF831,,
